id,label,rationale
95,0,"Contradict: Later narrative events violate the causal assumptions implied by the backstory. Conflict detected near: ""﻿The Project Gutenberg eBook of The Count of Monte Cristo This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions..."""
136,0,"Contradict: Later narrative events violate the causal assumptions implied by the backstory. Conflict detected near: ""countries are in a constant state of change. If you are outside the United States, check the laws of your country in addition to the terms of this agreement before downloading, copying, displaying, pe..."""
59,1,"Consistent: The backstory provides sufficient causal grounding for later decisions. Causal link confirmed near: ""shoulders, and long hair tied with leathern thongs. His height exceeded six feet, and his bronzed face was red between his eyes and mouth, black below his eyelids, and white on his forehead. After the..."""
60,1,"Consistent: The backstory provides sufficient causal grounding for later decisions. Causal link confirmed near: ""there!"" cried Glenarvan. Then suddenly a thought flashed through his mind. ""If Robert is still living!"" exclaimed he, with a cry of terror, ""this bird! Fire, my friends, fire!"" But he was too late. Th..."""
124,0,"Contradict: Later narrative events violate the causal assumptions implied by the backstory. Conflict detected near: ""countries are in a constant state of change. If you are outside the United States, check the laws of your country in addition to the terms of this agreement before downloading, copying, displaying, pe..."""
111,0,"Contradict: Later narrative events violate the causal assumptions implied by the backstory. Conflict detected near: ""﻿The Project Gutenberg eBook of The Count of Monte Cristo This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions..."""
135,0,"Contradict: Later narrative events violate the causal assumptions implied by the backstory. Conflict detected near: ""﻿The Project Gutenberg eBook of The Count of Monte Cristo This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions..."""
27,1,"Consistent: The backstory provides sufficient causal grounding for later decisions. Causal link confirmed near: ""shoulders, and long hair tied with leathern thongs. His height exceeded six feet, and his bronzed face was red between his eyes and mouth, black below his eyelids, and white on his forehead. After the..."""
110,0,"Contradict: Later narrative events violate the causal assumptions implied by the backstory. Conflict detected near: ""﻿The Project Gutenberg eBook of The Count of Monte Cristo This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions..."""
42,1,"Consistent: The backstory provides sufficient causal grounding for later decisions. Causal link confirmed near: ""shoulders, and long hair tied with leathern thongs. His height exceeded six feet, and his bronzed face was red between his eyes and mouth, black below his eyelids, and white on his forehead. After the..."""
56,1,"Consistent: The backstory provides sufficient causal grounding for later decisions. Causal link confirmed near: ""there!"" cried Glenarvan. Then suddenly a thought flashed through his mind. ""If Robert is still living!"" exclaimed he, with a cry of terror, ""this bird! Fire, my friends, fire!"" But he was too late. Th..."""
80,1,"Consistent: The backstory provides sufficient causal grounding for later decisions. Causal link confirmed near: ""shoulders, and long hair tied with leathern thongs. His height exceeded six feet, and his bronzed face was red between his eyes and mouth, black below his eyelids, and white on his forehead. After the..."""
28,1,"Consistent: The backstory provides sufficient causal grounding for later decisions. Causal link confirmed near: ""shoulders, and long hair tied with leathern thongs. His height exceeded six feet, and his bronzed face was red between his eyes and mouth, black below his eyelids, and white on his forehead. After the..."""
101,0,"Contradict: Later narrative events violate the causal assumptions implied by the backstory. Conflict detected near: ""countries are in a constant state of change. If you are outside the United States, check the laws of your country in addition to the terms of this agreement before downloading, copying, displaying, pe..."""
91,0,"Contradict: Later narrative events violate the causal assumptions implied by the backstory. Conflict detected near: ""countries are in a constant state of change. If you are outside the United States, check the laws of your country in addition to the terms of this agreement before downloading, copying, displaying, pe..."""
24,1,"Consistent: The backstory provides sufficient causal grounding for later decisions. Causal link confirmed near: ""shoulders, and long hair tied with leathern thongs. His height exceeded six feet, and his bronzed face was red between his eyes and mouth, black below his eyelids, and white on his forehead. After the..."""
119,0,"Contradict: Later narrative events violate the causal assumptions implied by the backstory. Conflict detected near: ""﻿The Project Gutenberg eBook of The Count of Monte Cristo This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions..."""
93,0,"Contradict: Later narrative events violate the causal assumptions implied by the backstory. Conflict detected near: ""﻿The Project Gutenberg eBook of The Count of Monte Cristo This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions..."""
72,1,"Consistent: The backstory provides sufficient causal grounding for later decisions. Causal link confirmed near: ""shoulders, and long hair tied with leathern thongs. His height exceeded six feet, and his bronzed face was red between his eyes and mouth, black below his eyelids, and white on his forehead. After the..."""
16,1,"Consistent: The backstory provides sufficient causal grounding for later decisions. Causal link confirmed near: ""there!"" cried Glenarvan. Then suddenly a thought flashed through his mind. ""If Robert is still living!"" exclaimed he, with a cry of terror, ""this bird! Fire, my friends, fire!"" But he was too late. Th..."""
30,1,"Consistent: The backstory provides sufficient causal grounding for later decisions. Causal link confirmed near: ""there!"" cried Glenarvan. Then suddenly a thought flashed through his mind. ""If Robert is still living!"" exclaimed he, with a cry of terror, ""this bird! Fire, my friends, fire!"" But he was too late. Th..."""
97,0,"Contradict: Later narrative events violate the causal assumptions implied by the backstory. Conflict detected near: ""﻿The Project Gutenberg eBook of The Count of Monte Cristo This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions..."""
22,1,"Consistent: The backstory provides sufficient causal grounding for later decisions. Causal link confirmed near: ""there!"" cried Glenarvan. Then suddenly a thought flashed through his mind. ""If Robert is still living!"" exclaimed he, with a cry of terror, ""this bird! Fire, my friends, fire!"" But he was too late. Th..."""
53,1,"Consistent: The backstory provides sufficient causal grounding for later decisions. Causal link confirmed near: ""shoulders, and long hair tied with leathern thongs. His height exceeded six feet, and his bronzed face was red between his eyes and mouth, black below his eyelids, and white on his forehead. After the..."""
58,1,"Consistent: The backstory provides sufficient causal grounding for later decisions. Causal link confirmed near: ""there!"" cried Glenarvan. Then suddenly a thought flashed through his mind. ""If Robert is still living!"" exclaimed he, with a cry of terror, ""this bird! Fire, my friends, fire!"" But he was too late. Th..."""
81,1,"Consistent: The backstory provides sufficient causal grounding for later decisions. Causal link confirmed near: ""there!"" cried Glenarvan. Then suddenly a thought flashed through his mind. ""If Robert is still living!"" exclaimed he, with a cry of terror, ""this bird! Fire, my friends, fire!"" But he was too late. Th..."""
47,1,"Consistent: The backstory provides sufficient causal grounding for later decisions. Causal link confirmed near: ""there!"" cried Glenarvan. Then suddenly a thought flashed through his mind. ""If Robert is still living!"" exclaimed he, with a cry of terror, ""this bird! Fire, my friends, fire!"" But he was too late. Th..."""
